page,supplier_title,supplier_note,source_url,filename,archive_status,archive_relative_path,bytes,sha256,content_type
1,Amazonite Etats-Unis 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/Amazonite-USA-A-7-5-8-5mm-667575c1e7180.jpg,Amazonite-USA-A-7-5-8-5mm-667575c1e7180.jpg,downloaded,documents/Amazonite-USA-A-7-5-8-5mm-667575c1e7180.jpg,34869,85a5ac4188957da153ac0c9f3efcd731f89486f3a77f815558fcdd8c25d560e8,image/jpeg
1,Amazonite Pérou 06mm,Le remplissage de cire dans les fissures signifie qu’il y a des résidus de cire de polissage dans les fissures de la pierre. Ceci n’altère en rien la qualité du produit.,https://camille-ambiance-nature.fr/uploads/certificats/amazonite-Perou-06mm-690c68abc02de.png,amazonite-Perou-06mm-690c68abc02de.png,downloaded,documents/amazonite-Perou-06mm-690c68abc02de.png,78658,711b2853d7010ed2e97f592a78c003ab188925ce4bc7b000dcf8f8fa1f00e7ba,image/png
1,Amazonite Pérou 08mm,,https://camille-ambiance-nature.fr/uploads/certificats/Amazonite-Perou-A-08mm-66757010134be.jpg,Amazonite-Perou-A-08mm-66757010134be.jpg,downloaded,documents/Amazonite-Perou-A-08mm-66757010134be.jpg,34469,661ed86753a650edca719ebfd6139bb9281a4eb5fd7f99e12e061eab2eed8aa4,image/jpeg
1,Amazonite Russie 06mm,L’imprégnation de polymères permet de renforcer une pierre poreuse à l’état naturel. Ceci n’altère en rien la qualité du produit.,https://camille-ambiance-nature.fr/uploads/certificats/Amazonite-Russie-612ca94e3ef2c.jpg,Amazonite-Russie-612ca94e3ef2c.jpg,downloaded,documents/Amazonite-Russie-612ca94e3ef2c.jpg,38348,bd249db4eebc76d9b248ea9d03afa2172637fb55d59a0beb9c3471912c178c2f,image/jpeg
1,Ambre cognac 06mm,L'Ambre est chauffé à 130°C afin d'enlever les bulles d'air à l'intérieur pour retirer les fissures. C'est un traitement normal pour renforcer l'ambre naturel.,https://camille-ambiance-nature.fr/uploads/certificats/ambre-cognac-AA-06mm-67c0324b035b7.png,ambre-cognac-AA-06mm-67c0324b035b7.png,downloaded,documents/ambre-cognac-AA-06mm-67c0324b035b7.png,98509,627b66540036aba2d0f0ca76e3213acc529dbad53c45629909e15e63c10f3f0f,image/png
1,Ambre Cognac 08mm,L'Ambre est chauffé à 130°C afin d'enlever les bulles d'air à l'intérieur pour retirer les fissures. C'est un traitement normal pour renforcer l'ambre naturel.,https://camille-ambiance-nature.fr/uploads/certificats/Ambre-Cognac-08mm-65240a56350d9.jpg,Ambre-Cognac-08mm-65240a56350d9.jpg,downloaded,documents/Ambre-Cognac-08mm-65240a56350d9.jpg,19856,68d32110a038d01e4647da37084a4a6b75182c88a2c77b2452698d0c02277286,image/jpeg
1,Ambre forme naturelle 05-06mm,,https://camille-ambiance-nature.fr/uploads/certificats/ambre-cognac-AA-forme-naturelle-05-06mm-67c0327032b56.png,ambre-cognac-AA-forme-naturelle-05-06mm-67c0327032b56.png,downloaded,documents/ambre-cognac-AA-forme-naturelle-05-06mm-67c0327032b56.png,98721,6f4176858808e6771cfdcab7f794696a7db96f0f791d02e3245918e679503e26,image/png
1,Ambre Jaune 08mm,L'Ambre est chauffé à 130°C afin d'enlever les bulles d'air à l'intérieur pour retirer les fissures. C'est un traitement normal pour renforcer l'ambre naturel.,https://camille-ambiance-nature.fr/uploads/certificats/Ambre-Jaune-08mm-65240a69de2c0.jpg,Ambre-Jaune-08mm-65240a69de2c0.jpg,downloaded,documents/Ambre-Jaune-08mm-65240a69de2c0.jpg,20793,7052d3e08753950dbaf8f2bb2ad20636e8697183e927d1943eaa0916a6fac2f1,image/jpeg
1,Ambre jaune AA 07-08mm,L'Ambre est chauffé à 130°C afin d'enlever les bulles d'air à l'intérieur pour retirer les fissures. C'est un traitement normal pour renforcer l'ambre naturel.,https://camille-ambiance-nature.fr/uploads/certificats/ambre-jaune-AA-07-08mm-69d4f7685fbd4.png,ambre-jaune-AA-07-08mm-69d4f7685fbd4.png,downloaded,documents/ambre-jaune-AA-07-08mm-69d4f7685fbd4.png,85769,3c21bedb40c3465d95cf59dd245ded095140eb7c8fd086918092a41672c31d27,image/png
1,Ambre miel 08mm,L'Ambre est chauffé à 130°C afin d'enlever les bulles d'air à l'intérieur pour retirer les fissures. C'est un traitement normal pour renforcer l'ambre naturel.,https://camille-ambiance-nature.fr/uploads/certificats/ambre-miel-AA-07-08mm-690c7c92c6da9.png,ambre-miel-AA-07-08mm-690c7c92c6da9.png,downloaded,documents/ambre-miel-AA-07-08mm-690c7c92c6da9.png,85051,e7a7b60b1b16daa464bd61fac803c5531afb4d766fc13e5fa1f498b43083d5c0,image/png
